name,count,gender,probability,IPA,IPA_stress,n_syllables
Nathan,1632.0,male,1.0,'neɪ θʌn,10,2.0
Teresa,1631.0,female,1.0,tɛː 'iː sə,010,3.0
Pedro,1631.0,male,0.99,'peɪ droʊ,10,2.0
Cheryl,1628.0,female,1.0,'ʃɛ rəl,10,2.0
Robin,1628.0,female,0.59,'rɑ bən,10,2.0
Bob,1593.0,male,0.98,'bɑb,1,1.0
Carla,1583.0,female,1.0,'kɑr lə,10,2.0
Janet,1579.0,female,1.0,'ʤæ nət,10,2.0
Joshua,1570.0,male,0.99,'ʤɑ ʃuː ə,100,3.0
Frank,1565.0,male,1.0,'fræŋk,1,1.0
Alicia,1563.0,female,0.99,ə 'lɪ ʃə,010,3.0
Marc,1555.0,male,1.0,'mɑrk,1,1.0
Sonia,1550.0,female,1.0,'soʊ njə,10,2.0
Erika,1544.0,female,0.99,'ɛ rɪ kə,100,3.0
Beth,1541.0,female,1.0,'bɛθ,1,1.0
Murat,1531.0,male,1.0,'mjʊə ɹæ,10,2.0
Alberto,1530.0,male,1.0,æl 'bɛː toʊ,010,3.0
Jean,1523.0,female,0.53,'ʤiːn,1,1.0
Anita,1519.0,female,1.0,ə 'niː tʌ,010,3.0
Adrian,1515.0,male,0.97,'eɪ driː ən,100,3.0
Francisco,1513.0,male,1.0,fræn 'sɪ skoʊ,010,3.0
Brittany,1512.0,female,0.99,'brɪ tʌ niː,100,3.0
Dawn,1507.0,female,1.0,'dɔːn,1,1.0
Tyler,1497.0,male,0.98,'taɪ lɛː,10,2.0
Angie,1495.0,female,1.0,'æn ʤiː,10,2.0
Cynthia,1489.0,female,1.0,'sɪn θiː ə,100,3.0
JoAnne,1488.0,female,1.0,`ʤoʊ 'æn,11,2.0
Joanne,1488.0,female,1.0,`ʤoʊ 'æn,11,2.0
Adriana,1476.0,female,1.0,`eɪ driː 'æ nʌ,1010,4.0
Benjamin,1475.0,male,1.0,'bɛn ʤə mən,100,3.0
Omar,1471.0,male,1.0,'oʊ mɑr,10,2.0
Joel,1468.0,male,0.99,'ʤoʊ əl,10,2.0
Pamela,1468.0,female,1.0,'pæ mə lə,100,3.0
